Number,Article Title,Date posted,Emotional Rating (1-10),Note,Article Link
,"Năm 2023, doanh thu và lợi nhuận FPT tăng trưởng 19,6% và 20,1% ",19/01/2024 ,9,Báo cáo kết quả kinh doanh tích cực của FPT trong năm 2023,https://fpt.com/vi/tin-tuc/thong-cao-bao-chi/nam-2023-doanh-thu-va-loi-nhuan-fpt-tang-truong-hai-chu-so
,"FPT tăng vốn lên hơn 11 ngàn tỷ, sắp trả cổ tức tổng tỷ lệ 25% ",15/05/2023 ,8,Thông tin về việc tăng vốn và chi trả cổ tức cao cho cổ đông,https://vietstock.vn/2023/05/fpt-tang-von-len-hon-11-ngan-ty-sap-tra-co-tuc-tong-ty-le-25-764-1070862.htm
," FPT ra mắt báo cáo thường niên 2023: Đỉnh cao mới, vươn tầm dẫn lối",27/03/2024 ,8,Giới thiệu báo cáo thường niên với những thành tựu và chiến lược phát triển mới,https://fpt.com/vi/tin-tuc/tin-fpt/fpt-ra-mat-bao-cao-thuong-nien-2023
,FPT đạt 9.203 tỷ đồng lợi nhuận trước thuế và chính thức cán mốc 1 tỷ đô doanh thu,23/01/2024 ,9,Thành tựu quan trọng trong việc đạt mốc doanh thu 1 tỷ USD từ dịch vụ CNTT nước ngoài,https://vneconomy.vn/nam-2023-fpt-dat-9-203-ty-dong-loi-nhuan-truoc-thue-va-chinh-thuc-can-moc-1-ty-do-doanh-thu.htm
,FPT bơm thêm 800 tỷ vào mảng AI và điện toán đám mây,5/11/2024,7,Đầu tư mạnh mẽ vào các lĩnh vực công nghệ tiên tiến như AI và điện toán đám mây,
,FPT ký kết hợp tác với hai doanh nghiệp Nhật Bản về chuyển đổi số,16/12/2023 ,8,Mở rộng hợp tác quốc tế trong lĩnh vực chuyển đổi số,
,FPT công bố kết quả kinh doanh quý III/2024 với tăng trưởng ấn tượng,18/10/2024,8,Báo cáo kết quả kinh doanh quý III với mức tăng trưởng đáng kể,
,FPT trở thành cổ đông chiến lược của Landing AI,24/10/2024 ,8,"Đầu tư chiến lược vào công ty AI hàng đầu của Mỹ, mở rộng lĩnh vực hoạt động",
,FPT mở rộng thị trường với việc mở mới 5 văn phòng tại châu Á và Mỹ ,28/02/2024 ,8,Mở rộng quy mô hoạt động tại thị trường nước ngoài thông qua việc mở mới văn phòng,
,"FPT công bố báo cáo ESG đầu tiên, cam kết phát triển bền vững ",30/06/2024 ,7,"Công bố báo cáo về môi trường, xã hội và quản trị, thể hiện cam kết phát triển bền vững ",
